# Grendels, serial
#  h2o 1D,6-31G,6-31G**, Good,Tight, TC2, TC2R
#            6-31G   6-31G**   6-31G
##h2o     Tight      Tight    GAMESS
   1    5.813589   6.318837   5.8136 
   2    6.344830   7.047412   6.3448 
   3    6.584449   7.399737   6.5844 
   4    6.727684   7.609261   6.7276 
   5    6.822640   7.746704   6.8226 
  10    7.030870   8.045561   7.0308 
  15    7.104780   8.151306   7.1047 
  20    7.142433   8.205162   7.1424 
  25    7.165231   8.237774   7.1652 
  30    7.180514   8.259633   7.1805 
  35    7.191468   8.275303   7.1914 
  40    7.199704   8.287090   7.1996 


