# Grendels, serial
#  h2o 1D,6-31G,6-31G**, Good,Tight, TC2, TC2R
#         6-31G      6-31G**     6-31G
##h2o     Tight       Tight      GAMESS
   1  -30.612178  -25.232854   -30.6125
   2  -29.545096  -23.454776   -29.5444
   3  -25.370516  -19.611398   -25.3696
   4  -22.141553  -16.713840   -22.1411
   5  -19.893306  -14.683861   -19.8925
  10  -14.807203  -10.065481   -14.8063
  15  -12.972171   -8.396753   -12.9713
  20  -12.034259   -7.544200   -12.0334
  25  -11.465624   -7.027523   -11.4648
  30  -11.084234   -6.680997   -11.0834
  35  -10.810645   -6.432514   -10.8099
  40  -10.604860   -6.245644   -10.6042


