# Grendels, serial
#  h2o 1D,6-31G,6-31G**, Good,Tight, TC2, TC2R
#               6-31G                     6-31G**
##h2o       Tight        Tight  
   1     330.577009     278.898509
   2     820.160650     663.493200
   3    1008.580733     836.073966
   4    1103.494950     935.378474
   5    1168.972479    1004.896120
  10    1324.304700    1169.020999
  15    1381.882600    1229.747000
  20    1411.448699    1260.928449
  25    1428.980999    1279.877079
  30    1441.474333    1292.603933
  35    1450.143685    1301.746485
  40    1456.682800    1308.644675


