# Grendels, serial
# ball of h2o, 6-31G, 6-31G**, good-tight, TC2, TC2R, cycle 5 X, WALL time.
##h2o t-Tot-Good t-Tot-Tightt-Tot-Good t-Tot-Tight       fit-G   fit-T         fit-G     fit-T    
#       6-31G      6-31G     6-31G**    6-31G**  
# 10      28.35      40.05      74.47      111.64 
# 30     256.19     433.39     659.39     1195.98 
# 50     673.98    1230.07    1772.06     3355.77   
# 70    1246.15    2359.77    3301.73     6743.68   
# 90    1959.74    3886.08    5319.80    11023.00   
#110    2774.34    5711.85    7453.40    15911.50   
#130    3545.80    7493.10    9836.50    21529.00
#150    4364.60    9380.30   12222.50    27193.90
 10   0.007875 0.011125 0.020686 0.031011
 30   0.071163 0.120386 0.183163 0.332216
 50   0.187216 0.341686 0.492238 0.932158
 70   0.346152 0.655491 0.917147 1.873244
 90   0.544372 1.079466 1.477722 3.061944
110   0.770650 1.586625 2.070388 4.419861
130   0.984944 2.081416 2.732361 5.980277
150   1.212388 2.605638 3.395138 7.553861


