#------------------------------------------------------------------------
# System: BetaCarotine/STO-3G
#  
# TauMAC    TauPAC    CheckSum               Rel Error        Time(Make J)
#------------------------------------------------------------------------
  1.E-002   1.E-002   147.9776907677847      3.151E-04        10.94
  5.E-003   5.E-003   148.0096903639651      9.898E-05        13.56
  1.E-003   1.E-003   148.0270154244303      1.805E-05        19.66 
  5.E-004   5.E-004   148.0274291870062      2.085E-05        23.14
  1.E-004   1.E-004   148.0256776198121      9.021E-06        30.40
  5.E-005   5.E-005   148.0253099457350      6.537E-06        33.02
  1.E-005   1.E-005   148.0245892237404      1.668E-06        41.22
  5.E-006   5.E-006   148.0244973925339      1.047E-06        44.48
  1.E-006   1.E-006   148.0243710887944      1.946E-07        55.45
  5.E-007   5.E-007   148.0243553594132      8.841E-08        54.16
  1.E-007   1.E-007   148.0243442372311      1.328E-08        59.25
  5.E-008   5.E-008   148.0243431493319      5.932E-09        60.82
  1.E-008   1.E-008   148.0243423787817      7.270E-10        65.76
  5.E-009   5.E-009   148.0243423655356      6.375E-10        68.00
  1.E-009   1.E-009   148.0243422981825      1.825E-10        72.01
  5.E-010   5.E-010   148.0243422783076      4.823E-11        74.31
  1.E-010   1.E-010   148.0243422679649      2.163E-11        78.83
  5.E-011   5.E-011   148.0243422691287      1.377E-11        80.47
  1.E-011   1.E-011   148.0243422698923      8.613E-12        88.15
  5.E-012   5.E-012   148.0243422704086      5.125E-12        90.99
  1.E-012   1.E-012   148.0243422710069      1.084E-12       100.22
  5.E-013   5.E-013   148.0243422710828      5.710E-13       104.93
  1.E-013   1.E-013   148.0243422711604      4.666E-14       116.37
  5.E-014   5.E-014   148.0243422711673      2.000E-14       121.92
