<BeginTitle>
64 water molecules in cubic box, periodic
MONDO : -9.306316342678592 Hartree
Ewald : -9.306316342680415
<EndTitle>

<BeginOptions>
Mechanics=(MM)
Accuracy =(VeryTight)
DebugAll=(MaxDebug)
Geometry=(InAngstroms,NoOrder)
BlokAInv=(Test,1.D20)
Periodic=(On-XYZ,AtomWrap,AngFormat,FracCoord,PFFOverRide)
PFFLayers=2
PFFMaxEll=26
TauMAC=1.D-18
<EndOptions>

<BeginPeriodic>
d3   12.42956925D0 12.42956925D0 12.42956925D0  90.0D0   90.0D0   90.0D0
<EndPeriodic>

<BeGIN_MM_filenames>
validation_opls
Water64mm.seq
Water64mm.crd
<END_MM_filenames>

====================================================================
Layers       Ell          Energy               Error
====================================================================
  1           4          -9.306555589712595    2.5708E-5
  1           6          -9.306730296879019    4.4481E-5
  1           8          -9.306329499887074    1.4137E-6
  1          10          -9.306306126747058    1.0977E-6
  1          12          -9.306328194837169    1.2735E-6
  1          14          -9.306315051179416    1.3877E-7
  1          16          -9.306316609313200    2.8650E-8
  1          18          -9.306316480410803    1.4799E-8
  1          20          -9.306316319986477    2.4383E-9
  1          22          -9.306316358209054    1.6688E-9
  1          24          -9.306316345323328    2.8418E-10
  1          26          -9.306316342693529    1.6056E-12
  1          28          -9.306316343359891    7.3208E-11
  1          30          -9.306316342768685    9.6814E-12
  1          32          -9.306316342635913    4.5854E-12
  1          34          -9.306316342748884    7.5537E-12
  1          36          -9.306316342665383    1.4187E-12
  1          38          -9.306316342680908    2.4947E-13
  1          40          -9.306316342682781    4.5065E-13
  1          42          -9.306316342676363    2.3897E-13
  1          44          -9.306316342679665    1.1586E-13
  1          46          -9.306316342678414    1.8515E-14
  1          48          -9.306316342678556    3.2449E-15
  1          50          -9.306316342678656    7.4441E-15
  1          52          -9.306316342678555    3.4357E-15
  1          54          -9.306316342678599    1.3361E-15
  1          56          -9.306316342678585    1.9087E-16
  1          58          -9.306316342678587
  1          60          -9.306316342678588
  1          62          -9.306316342678587
  1          64          -9.306316342678587
 ------------------------------------------------------------------
  2           4          -9.306316082050072    2.80056E-8
  2           6          -9.306316249601952    1.00014E-8
  2           8          -9.306316308500849    3.67253E-9
  2          10          -9.306316329621083    1.40308E-9
  2          12          -9.306316343039041    3.87323E-11
  2          14          -9.306316342673853    5.08686E-13
  2          16          -9.306316342670454    8.73832E-13
  2          18          -9.306316342681525    3.15710E-13
  2          20          -9.306316342678548    4.19928E-15
  2          22          -9.306316342678564    2.48139E-15
  2          24          -9.306316342678592    5.72629E-16
  2          26          -9.306316342678592
====================================================================


